mineral,scenario,first_deficit_year,max_deficit_kt,gap_2030_kt,gap_2040_kt
Cobalt,NZE,,59.524974241923644,119.68321333842042,117.31947424192369
Cobalt,STEPS,,78.43257543018052,172.4072073598024,78.43257543018052
Copper,NZE,,11297.395288279971,19794.267880685722,13044.382713087518
Copper,STEPS,,3673.642632976902,13361.050404958936,3673.642632976902
Lithium,NZE,2030.0,-965.35064836,-66.09087882000003,-792.5256483600001
Lithium,STEPS,2035.0,-390.91447542858003,102.46408766600149,-390.91447542858003
Magnet rare earth elements,NZE,,34.9638936441706,51.92714331763352,49.214408644170604
Magnet rare earth elements,STEPS,,56.243702325543815,62.45590754255056,62.09604012420878
Nickel,NZE,,324.8179999999993,2471.878,775.9779999999994
Nickel,STEPS,,2156.9055172413805,3141.61551724138,2156.9055172413805
